purchases,balance,credit_limit,payments,tenure,oneoff_purchases,installments_purchases,cash_advance,prc_full_payment,cash_advance_frequency,cash_advance_trx,purchases_trx,minimum_payments,balance_frequency,oneoff_purchases_frequency,purchases_installments_frequency,default
1525.44,5315.945594,8500.0,1430.341501,12,469.8,1055.64,0.0,0.0,0.0,0,20,1318.71492,1.0,0.333333,1.0,0
437.0,2242.311686,2400.0,0.0,12,97.0,340.0,184.648692,0.0,0.166667,2,5,0.0,1.0,0.083333,0.333333,0
109.74,474.447149,1700.0,176.013005,8,0.0,109.74,1013.659552,0.0,0.125,1,3,147.199792,0.5,0.0,0.25,0
0.0,3910.111237,4200.0,0.0,12,0.0,0.0,1980.873201,0.0,0.5,7,0,0.0,1.0,0.0,0.0,0
2390.6,229.867179,3300.0,2543.953559,12,1402.93,987.67,0.0,0.916667,0.0,0,87,175.657825,1.0,0.666667,1.0,0
507.5,863.809833,4000.0,587.866451,12,507.5,0.0,695.097159,0.083333,0.083333,2,3,286.448719,1.0,0.166667,0.0,0
901.42,4931.331857,12000.0,8113.297346,8,646.07,255.35,8530.648614,0.0,0.875,37,9,1012.415961,1.0,0.375,0.25,0
3107.85,1078.888565,2500.0,1399.82834,12,2221.74,886.11,0.0,0.0,0.0,0,18,1322.446601,1.0,0.583333,0.5,0
0.0,1565.681099,3500.0,691.825279,12,0.0,0.0,321.359135,0.0,0.25,3,0,581.481917,1.0,0.0,0.0,0
1979.22,464.674156,3000.0,3110.052742,9,1979.22,0.0,1981.265503,0.2,0.111111,1,11,132.446091,0.888889,0.666667,0.0,0
310.0,6.660517,1000.0,417.016763,12,0.0,310.0,0.0,0.0,0.0,0,8,0.0,0.636364,0.0,0.666667,0
1283.9,1311.995984,6000.0,0.0,12,1283.9,0.0,0.0,0.0,0.0,0,6,0.0,1.0,0.25,0.0,0
313.27,3625.218146,4000.0,0.0,12,313.27,0.0,668.468743,0.0,0.416667,5,4,0.0,1.0,0.25,0.0,0
5217.62,2386.330629,7500.0,5678.729613,12,4789.09,428.53,0.0,0.083333,0.0,0,42,1311.514878,1.0,0.916667,0.5,0
0.0,3971.138765,4000.0,764.938728,11,0.0,0.0,224.575517,0.0,0.181818,3,0,1600.212243,1.0,0.0,0.0,1
229.0,5493.90406,6000.0,2110.557023,12,0.0,229.0,970.591332,0.0,0.333333,4,6,1895.02617,1.0,0.0,0.333333,0
113.0,1879.114033,6500.0,3509.686561,12,113.0,0.0,0.0,0.0,0.0,0,2,548.105836,0.727273,0.166667,0.0,0
66.2,1555.793701,1600.0,338.083661,12,66.2,0.0,0.0,0.0,0.0,0,1,837.215674,1.0,0.083333,0.0,1
0.0,809.582978,4150.0,4372.148648,11,0.0,0.0,3819.672466,0.090909,0.545455,7,0,241.645387,0.909091,0.0,0.0,0
840.0,7.152356,1600.0,0.0,12,840.0,0.0,0.0,0.0,0.0,0,1,0.0,0.090909,0.083333,0.0,0
1887.64,1923.886805,1850.0,3688.045998,12,0.0,1887.64,1605.949371,0.083333,0.083333,4,61,3266.996777,1.0,0.0,1.0,0
412.33,1758.059987,1800.0,777.451648,12,325.21,87.12,0.0,0.0,0.0,0,11,897.905444,1.0,0.333333,0.166667,1
0.0,809.847455,1500.0,146.074769,8,0.0,0.0,908.423608,0.0,0.125,1,0,179.412493,0.875,0.0,0.0,1
0.0,1576.305029,2500.0,540.022225,12,0.0,0.0,382.908547,0.0,0.416667,6,0,352.883804,1.0,0.0,0.0,0
263.5,3990.523579,6000.0,6876.836205,12,190.6,72.9,0.0,0.083333,0.0,0,8,1001.607366,1.0,0.083333,0.583333,0
1363.69,1699.435486,1700.0,1623.816348,12,1363.69,0.0,0.0,0.0,0.0,0,4,923.505868,1.0,0.333333,0.0,0
419.1,5487.683724,6250.0,1288.214909,12,0.0,419.1,625.399386,0.0,0.333333,4,11,2180.881868,1.0,0.0,0.833333,1
4523.27,2990.422186,7000.0,28232.69446,12,1664.09,2859.18,27296.48576,0.454545,0.833333,27,33,1107.030803,0.909091,0.5,0.583333,0
0.0,656.01301,7000.0,910.457985,8,0.0,0.0,1474.349901,0.25,0.125,3,0,140.983193,1.0,0.0,0.0,0
713.9,1808.972419,2250.0,889.017418,10,503.08,210.82,0.0,0.0,0.0,0,8,622.757696,1.0,0.1,0.4,0
791.94,532.334517,6000.0,1305.177304,11,516.64,275.3,0.0,0.0,0.0,0,7,175.510344,0.909091,0.090909,0.181818,0
561.87,5860.433624,6000.0,1990.044998,12,249.5,312.37,0.0,0.0,0.0,0,14,2161.428274,1.0,0.166667,0.75,1
606.11,1727.638449,11000.0,2959.920544,12,606.11,0.0,0.0,0.0,0.0,0,17,623.656993,1.0,1.0,0.0,0
320.0,578.809679,1500.0,1438.910569,12,0.0,320.0,0.0,0.0,0.0,0,8,190.186542,1.0,0.0,0.666667,0
0.0,1205.716678,1200.0,29.278671,12,0.0,0.0,38.325801,0.0,0.083333,1,0,8242.687678,1.0,0.0,0.0,1
388.66,6593.820644,7000.0,1624.583114,12,388.66,0.0,4621.93458,0.0,0.416667,7,7,2503.40234,1.0,0.583333,0.0,1
244.85,17.357563,5000.0,357.802082,12,40.21,204.64,0.0,0.181818,0.0,0,13,121.523416,0.909091,0.166667,0.583333,0
0.0,81.584711,9500.0,116.569033,12,0.0,0.0,2985.300006,0.0,0.166667,5,0,164.692136,0.272727,0.0,0.0,1
133.05,3.78631,12000.0,210.053432,12,28.2,104.85,0.0,0.444444,0.0,0,5,99.533735,0.636364,0.166667,0.25,0
396.0,42.46443,1200.0,725.606194,12,0.0,396.0,0.0,1.0,0.0,0,12,140.809454,0.545455,0.0,0.416667,0
4915.6,1935.362486,9000.0,4921.066897,12,4515.34,400.26,293.844792,0.0,0.083333,1,50,594.756686,1.0,1.0,0.333333,0
1247.8,134.917202,16500.0,1275.229436,12,1247.8,0.0,0.0,1.0,0.0,0,22,171.357189,1.0,1.0,0.0,0
1603.78,7069.950386,11000.0,4589.873897,12,1445.14,158.64,5626.004046,0.0,0.75,23,23,1876.262988,1.0,0.833333,1.0,0
2258.01,8181.251131,13500.0,3021.575846,12,1318.78,939.23,5251.228934,0.0,0.75,21,60,2074.581541,1.0,0.75,1.0,0
45.0,4037.305658,4500.0,1073.844885,12,45.0,0.0,104.238064,0.0,0.083333,1,1,968.941265,1.0,0.083333,0.0,0
0.0,6110.265264,6500.0,1502.205631,12,0.0,0.0,2717.253917,0.0,0.416667,14,0,2864.380327,1.0,0.0,0.0,1
5100.07,9381.255094,9000.0,6409.496345,12,1147.83,3952.24,370.737197,0.0,0.083333,1,46,9827.045323,1.0,0.25,0.916667,1
1032.04,1977.00709,4000.0,3056.424974,11,226.9,805.14,4335.919227,0.090909,0.545455,21,17,910.707525,1.0,0.090909,0.818182,0
45.65,1321.47608,1800.0,440.840439,12,45.65,0.0,495.657934,0.0,0.083333,1,1,312.560636,1.0,0.083333,0.0,0
405.6,1307.717841,2400.0,0.0,12,405.6,0.0,0.0,0.0,0.0,0,2,0.0,1.0,0.166667,0.0,0
213.34,2329.485768,2400.0,0.0,12,213.34,0.0,0.0,0.0,0.0,0,3,0.0,1.0,0.25,0.0,0
0.0,1139.782882,1200.0,151.823651,12,0.0,0.0,120.612912,0.0,0.083333,1,0,2906.110765,1.0,0.0,0.0,1
739.44,1619.955708,6000.0,417.128532,12,739.44,0.0,0.0,0.0,0.0,0,11,389.138517,1.0,0.666667,0.0,0
0.0,3505.671311,4000.0,0.0,12,0.0,0.0,1713.984305,0.0,0.5,6,0,0.0,1.0,0.0,0.0,0
79.0,4.708041,7000.0,217.820198,12,0.0,79.0,0.0,1.0,0.0,0,3,121.781205,0.363636,0.0,0.166667,0
0.0,0.0,3000.0,138.021428,7,0.0,0.0,89.849004,0.0,0.142857,1,0,0.0,0.0,0.0,0.0,0
20.0,4.875885,1500.0,26.487919,9,20.0,0.0,0.0,0.0,0.0,0,1,60.913577,0.666667,0.111111,0.0,1
1346.28,23.394411,2000.0,712.149153,12,0.0,1346.28,0.0,0.0,0.0,0,12,54.79166,0.272727,0.0,1.0,0
2823.8,3539.801912,5700.0,9172.788366,12,1540.41,1283.39,0.0,0.083333,0.0,0,75,2103.796148,1.0,0.916667,0.833333,0
389.96,0.62424,4500.0,0.0,12,0.0,389.96,0.0,0.0,0.0,0,31,0.0,0.090909,0.0,1.0,0
0.0,862.07238,4000.0,2236.890255,12,0.0,0.0,920.309805,0.083333,0.083333,1,0,214.828158,1.0,0.0,0.0,0
808.0,2441.542991,4000.0,532.741699,12,808.0,0.0,959.857263,0.0,0.333333,6,4,1026.976,1.0,0.25,0.0,1
941.64,408.656365,2500.0,1097.78942,12,0.0,941.64,0.0,0.083333,0.0,0,12,176.610605,1.0,0.0,1.0,0
0.0,4986.400804,8000.0,1241.538024,12,0.0,0.0,5439.467563,0.0,0.583333,40,0,1439.230899,1.0,0.0,0.0,1
423.7,1246.624558,2000.0,577.050373,12,177.64,246.06,412.399058,0.0,0.083333,2,10,498.365419,1.0,0.166667,0.5,0
4478.75,6644.201651,9000.0,10857.94321,12,2721.59,1757.16,7205.520805,0.083333,0.583333,21,64,2469.571326,1.0,0.916667,1.0,0
1354.86,156.216753,5500.0,858.976682,12,585.63,769.23,0.0,0.0,0.0,0,34,108.319927,0.818182,0.333333,0.833333,0
0.0,3393.351236,4200.0,0.0,12,0.0,0.0,1008.348672,0.0,0.083333,2,0,0.0,1.0,0.0,0.0,0
2812.2,5322.994094,8500.0,1509.423237,12,857.12,1955.08,2510.352951,0.0,0.333333,8,81,1834.031569,1.0,0.25,1.0,1
0.0,6458.56209,7000.0,1277.76778,12,0.0,0.0,3360.228794,0.0,0.25,11,0,2760.115734,1.0,0.0,0.0,1
1508.9,175.341651,5000.0,1884.227778,12,1252.36,256.54,0.0,1.0,0.0,0,14,136.639824,0.818182,0.416667,0.333333,0
1045.57,680.195157,3000.0,552.432305,12,667.95,377.62,0.0,0.0,0.0,0,25,207.720441,1.0,0.583333,1.0,0
2309.78,223.763616,6500.0,1206.81188,12,0.0,2309.78,0.0,0.333333,0.0,0,12,99.372848,0.636364,0.0,0.5,0
0.0,1785.626943,1800.0,687.691735,12,0.0,0.0,576.206382,0.0,0.25,10,0,2439.136113,1.0,0.0,0.0,1
495.0,54.933231,7000.0,1969.845566,12,0.0,495.0,0.0,1.0,0.0,0,2,147.049952,0.272727,0.0,0.166667,0
0.0,2662.629852,3000.0,932.418855,12,0.0,0.0,509.023801,0.0,0.333333,4,0,709.207016,1.0,0.0,0.0,0
6724.26,8504.876253,17000.0,1888.756861,12,4100.08,2624.18,1686.599777,0.0,0.5,10,85,2167.446204,1.0,0.916667,1.0,1
1174.39,1464.324632,9000.0,0.0,12,1174.39,0.0,0.0,0.0,0.0,0,8,0.0,1.0,0.25,0.0,0
5580.85,2114.158683,8500.0,3564.977774,12,0.0,5580.85,0.0,0.0,0.0,0,75,630.00413,1.0,0.0,1.0,0
0.0,2876.396444,3200.0,1065.426905,12,0.0,0.0,998.84867,0.0,0.166667,2,0,1412.648089,1.0,0.0,0.0,1
0.0,14224.11541,19000.0,3066.614272,12,0.0,0.0,4614.427403,0.0,0.333333,9,0,3406.258999,1.0,0.0,0.0,1
12462.44,2392.917738,2800.0,11628.71557,12,12462.44,0.0,0.0,0.0,0.0,0,217,2000.990921,1.0,0.916667,0.0,0
0.0,57.453201,1200.0,385.853874,8,0.0,0.0,272.713302,0.166667,0.125,1,0,84.697292,0.75,0.0,0.0,0
1957.3,4245.855092,5000.0,1004.35474,12,1077.3,880.0,0.0,0.0,0.0,0,19,1086.428906,1.0,0.166667,0.583333,1
150.64,11167.23403,17000.0,2606.059389,12,150.64,0.0,8362.154254,0.0,0.5,14,1,2894.077159,1.0,0.083333,0.0,1
0.0,69.405545,13000.0,0.0,12,0.0,0.0,2799.714934,0.0,0.083333,3,0,0.0,0.090909,0.0,0.0,0
907.0,116.654149,5000.0,0.0,12,907.0,0.0,273.558033,0.0,0.083333,1,8,0.0,0.272727,0.25,0.0,0
1271.12,4637.848144,5000.0,1906.032044,12,351.54,919.58,0.0,0.0,0.0,0,33,3572.279251,1.0,0.25,0.833333,1
250.6,24.28497,3000.0,319.762903,12,0.0,250.6,0.0,0.0,0.0,0,7,173.632006,0.636364,0.0,0.5,0
796.33,9354.06045,13000.0,10664.65866,12,796.33,0.0,13748.47131,0.083333,0.666667,16,1,2600.875721,1.0,0.083333,0.0,0
440.0,231.108995,4000.0,554.116542,12,0.0,440.0,0.0,0.0,0.0,0,22,185.091037,1.0,0.0,0.916667,0
1330.62,1562.633343,2000.0,1020.783647,12,1169.63,160.99,0.0,0.0,0.0,0,8,709.610053,1.0,0.166667,0.25,0
5491.79,2494.868559,17000.0,1015.311953,12,1390.5,4101.29,0.0,0.0,0.0,0,52,615.92402,1.0,0.5,1.0,0
897.86,706.132889,1200.0,972.358048,12,714.52,183.34,586.268966,0.0,0.25,3,18,184.524376,1.0,0.333333,0.916667,0
22009.92,19043.13856,18000.0,23018.57583,12,9449.07,12560.85,0.0,0.0,0.0,0,216,18621.01331,1.0,0.75,1.0,0
720.6,2235.103331,2500.0,1061.292471,12,720.6,0.0,723.308724,0.0,0.083333,1,12,689.118919,1.0,1.0,0.0,0
197.06,947.13081,1000.0,492.200419,12,148.66,48.4,0.0,0.0,0.0,0,5,509.384182,1.0,0.25,0.166667,1
0.0,764.042156,7500.0,1566.806897,12,0.0,0.0,1307.102516,0.0,0.166667,3,0,172.959728,0.818182,0.0,0.0,0
0.0,5347.814547,7000.0,0.0,12,0.0,0.0,4002.353384,0.0,0.5,9,0,0.0,1.0,0.0,0.0,0
2084.48,10598.46777,21500.0,3219.621433,12,1300.48,784.0,0.0,0.0,0.0,0,13,3068.125648,1.0,0.416667,0.583333,0
5779.36,2163.678757,6500.0,4416.41268,12,3436.53,2342.83,0.0,0.0,0.0,0,97,546.439139,1.0,1.0,1.0,0
1025.0,3057.400553,7500.0,698.854095,12,1025.0,0.0,0.0,0.0,0.0,0,2,819.682666,1.0,0.083333,0.0,1
689.7,19.354559,10000.0,746.691026,12,0.0,689.7,0.0,0.0,0.0,0,10,0.0,0.909091,0.0,0.833333,0
28.65,264.811595,9000.0,1235.630069,12,28.65,0.0,384.26178,0.083333,0.083333,1,1,194.324456,1.0,0.083333,0.0,0
944.96,1108.22253,1500.0,1955.198953,12,164.96,780.0,0.0,0.0,0.0,0,9,992.652486,0.909091,0.25,0.416667,0
1039.2,906.573724,13500.0,1855.235407,12,80.0,959.2,103.102091,0.083333,0.083333,1,11,468.196732,1.0,0.083333,0.833333,0
4059.93,7679.62904,7000.0,3685.61062,12,0.0,4059.93,555.469352,0.0,0.166667,7,14,12854.9397,1.0,0.0,0.5,1
4075.37,1523.911458,6500.0,2254.26002,12,3322.28,753.09,0.0,0.0,0.0,0,31,329.29648,1.0,1.0,1.0,0
870.24,49.206256,8000.0,835.839952,12,0.0,870.24,0.0,1.0,0.0,0,24,193.011166,1.0,0.0,1.0,0
9792.23,13673.07961,20000.0,11717.30794,12,3959.81,5832.42,2444.445738,0.0,0.75,26,216,6042.391629,1.0,0.75,1.0,0
2463.12,106.455975,4000.0,2573.722764,12,789.53,1673.59,0.0,0.636364,0.0,0,46,95.342224,0.636364,0.5,1.0,0
1859.34,119.760904,20000.0,3104.275623,12,0.0,1859.34,0.0,0.25,0.0,0,4,288.903628,0.363636,0.0,0.25,0
3488.49,5837.105453,7900.0,0.0,12,3262.25,226.24,3303.1523,0.0,0.75,15,46,0.0,1.0,1.0,0.5,0
0.0,1734.510004,1800.0,363.474455,12,0.0,0.0,66.275851,0.0,0.166667,2,0,2827.997525,1.0,0.0,0.0,1
7283.31,2765.748281,11000.0,14373.3929,12,5087.31,2196.0,0.0,0.25,0.0,0,77,1058.128452,1.0,1.0,0.666667,0
295.0,1046.37041,1200.0,439.407082,12,295.0,0.0,93.579809,0.0,0.083333,1,2,362.838185,1.0,0.083333,0.0,0
0.0,2737.367678,3000.0,778.827993,12,0.0,0.0,429.691164,0.0,0.416667,5,0,721.798576,1.0,0.0,0.0,0
0.0,4014.818167,8500.0,1009.185035,12,0.0,0.0,988.356213,0.0,0.083333,1,0,1177.149934,1.0,0.0,0.0,1
648.22,871.568977,1200.0,1110.886425,12,115.0,533.22,0.0,0.0,0.0,0,27,208.298424,1.0,0.083333,1.0,0
557.19,1610.040203,4000.0,422.711848,12,525.64,31.55,0.0,0.0,0.0,0,5,616.005839,1.0,0.083333,0.166667,1
469.98,114.593817,1000.0,367.109312,6,0.0,469.98,0.0,0.5,0.0,0,6,86.102479,1.0,0.0,0.833333,0
0.0,5800.587339,6500.0,1346.365584,12,0.0,0.0,369.950794,0.0,0.083333,1,0,1972.526015,1.0,0.0,0.0,1
131.64,823.103926,8000.0,2916.071564,12,0.0,131.64,0.0,0.0,0.0,0,12,243.199498,0.363636,0.0,1.0,0
5078.14,595.677343,15000.0,4756.654374,12,4330.53,747.61,1424.442602,0.916667,0.083333,1,42,241.894073,1.0,0.666667,0.75,0
924.6,1128.124563,1000.0,1202.711782,12,0.0,924.6,0.0,0.0,0.0,0,12,1747.037345,1.0,0.0,1.0,1
1975.4,349.441102,4000.0,1795.012223,12,1393.5,581.9,0.0,0.0,0.0,0,17,167.219681,1.0,0.416667,0.333333,0
0.0,840.804076,4000.0,3621.266477,9,0.0,0.0,3671.777443,0.0,0.222222,5,0,193.171404,0.666667,0.0,0.0,0
10221.35,975.942008,10500.0,10693.49585,12,7141.38,3079.97,1620.685551,0.75,0.583333,18,130,347.641073,1.0,1.0,0.833333,0
300.0,23.111088,12500.0,291.948834,12,0.0,300.0,0.0,0.181818,0.0,0,3,43.452683,0.363636,0.0,0.166667,0
0.0,2187.732265,3000.0,1423.788603,7,0.0,0.0,3905.326256,0.2,0.285714,9,0,461.365626,0.857143,0.0,0.0,0
5715.0,11972.01104,14000.0,4639.513745,12,4685.54,1029.46,1626.351366,0.0,0.166667,3,90,3192.306018,1.0,1.0,1.0,0
0.0,1608.451822,1800.0,470.565984,12,0.0,0.0,205.737165,0.0,0.166667,2,0,408.799147,1.0,0.0,0.0,0
766.61,1872.926275,2300.0,0.0,12,766.61,0.0,1017.120578,0.0,0.25,5,12,0.0,1.0,0.833333,0.0,0
0.0,2933.240476,3000.0,2431.578544,12,0.0,0.0,2040.433925,0.0,0.583333,13,0,1739.74883,1.0,0.0,0.0,0
3535.8,336.799916,20000.0,2814.231227,12,1614.7,1921.1,0.0,1.0,0.0,0,44,186.230835,1.0,0.416667,0.916667,0
256.11,36.236312,5300.0,831.375322,12,0.0,256.11,0.0,0.166667,0.0,0,5,189.036967,0.454545,0.0,0.416667,0
2697.48,903.29781,2500.0,1686.196344,12,150.5,2546.98,0.0,0.0,0.0,0,39,303.361632,1.0,0.333333,1.0,0
23.0,0.0,5000.0,0.0,12,0.0,23.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.083333,0
117.0,2881.253586,4500.0,17301.83238,12,0.0,117.0,17661.49486,0.166667,0.75,28,3,931.618475,1.0,0.0,0.166667,0
196.81,5.465999,12000.0,0.0,12,173.0,23.81,0.0,0.0,0.0,0,3,0.0,0.090909,0.083333,0.083333,0
653.73,117.442684,10000.0,441.588141,12,493.0,160.73,0.0,0.0,0.0,0,15,136.827952,1.0,0.416667,0.416667,0
2009.05,168.522709,1200.0,2612.760497,12,0.0,2009.05,0.0,0.142857,0.0,0,22,197.638558,0.818182,0.0,0.75,0
147.78,1706.014379,6000.0,1186.062765,12,0.0,147.78,1657.090283,0.0,0.25,4,2,374.595505,1.0,0.0,0.166667,0
516.54,874.583247,900.0,579.749308,12,159.07,357.47,0.0,0.0,0.0,0,30,693.894717,1.0,0.333333,0.916667,1
969.56,861.001207,2400.0,0.0,12,969.56,0.0,446.233197,0.0,0.083333,1,6,0.0,1.0,0.416667,0.0,0
311.45,966.251742,1500.0,277.522439,12,311.45,0.0,955.959749,0.0,0.083333,1,15,286.299328,1.0,0.333333,0.0,1
280.4,38.615644,6150.0,254.392984,12,280.4,0.0,0.0,0.090909,0.0,0,3,55.79974,0.727273,0.25,0.0,0
66.14,189.687964,6000.0,0.0,12,66.14,0.0,0.0,0.0,0.0,0,2,0.0,1.0,0.083333,0.0,0
79.2,40.417255,4000.0,1647.880773,12,79.2,0.0,1631.576375,0.083333,0.083333,1,1,24.815878,0.363636,0.083333,0.0,0
1453.32,5462.897068,16500.0,1382.269127,12,0.0,1453.32,0.0,0.0,0.0,0,18,1755.253802,1.0,0.0,0.5,1
756.54,3983.923705,4000.0,1110.870941,12,756.54,0.0,0.0,0.0,0.0,0,15,1431.201171,1.0,0.5,0.0,1
3507.35,5588.846272,11500.0,1412.597253,12,603.75,2903.6,0.0,0.0,0.0,0,34,1825.176503,1.0,0.166667,0.833333,1
3163.69,281.170378,8000.0,2422.911622,12,56.8,3106.89,0.0,0.888889,0.0,0,36,187.046284,0.818182,0.083333,0.666667,0
1343.19,130.251538,15000.0,1043.55929,12,1082.79,260.4,0.0,0.545455,0.0,0,33,182.429461,0.909091,1.0,0.583333,0
873.0,1973.814964,8000.0,541.722532,12,873.0,0.0,0.0,0.0,0.0,0,5,762.682834,1.0,0.166667,0.0,1
47.55,5698.539876,6000.0,2976.579866,12,0.0,47.55,2039.52804,0.0,0.75,14,2,3463.174962,1.0,0.0,0.166667,1
370.0,43.103899,23000.0,1212.054219,12,370.0,0.0,0.0,0.0,0.0,0,2,68.725483,0.454545,0.166667,0.0,0
405.75,566.546048,2000.0,1249.835142,12,313.75,92.0,1044.651618,0.0,0.333333,6,12,313.052687,0.909091,0.166667,0.416667,0
